"","state","county","tract","Total_2000","White_2000","Black_2000","Indian_2000","Other_Race_2000","Asian_or_Pacific_Islander_2000"
"519","04","013","420702",5680,5232,61,30,230,127
"520","04","013","420703",5547,5002,114,35,316,80
"521","04","013","420704",5345,4692,82,46,424,101
"522","04","013","420705",2390,2233,23,0,96,38
"523","04","013","420706",4447,4045,70,9,270,53
"524","04","013","420800",5354,4371,160,48,710,65
"525","04","013","420901",3431,2697,94,213,427,0
"526","04","013","420902",3350,2998,88,0,213,51
"527","04","013","421000",7047,5447,398,128,1034,40
"528","04","013","421101",4136,3258,60,210,608,0
"529","04","013","421102",6405,4842,234,149,1170,10
"530","04","013","421201",2985,2158,47,117,484,179
"531","04","013","421202",5079,3868,150,78,885,98
"532","04","013","421301",8102,5465,424,389,1619,205
"533","04","013","421302",6407,3745,207,117,2212,126
"534","04","013","421400",2864,2071,69,61,658,5
"535","04","013","421501",3883,2989,76,30,775,13
"536","04","013","421502",3439,2605,86,133,615,0
"537","04","013","421601",3114,2478,43,47,512,34
"538","04","013","421602",4427,2974,35,139,1279,0
"539","04","013","421700",7661,6027,153,111,1320,50
"540","04","013","421801",2795,1827,15,8,846,99
"541","04","013","421802",5122,3397,158,93,1444,30
"542","04","013","421901",4025,2567,171,56,1213,18
"543","04","013","421902",6239,3508,103,42,2489,97
"544","04","013","422001",4578,2303,53,126,2090,6
"545","04","013","422002",3861,2147,43,104,1511,56
"546","04","013","422102",4541,2906,187,79,1219,150
"547","04","013","422103",4815,2876,422,652,632,233
"548","04","013","422104",6317,4223,328,289,1205,272
"549","04","013","422105",2856,2097,215,61,447,36
"550","04","013","422106",5204,3253,378,239,1252,82
"551","04","013","422107",4027,2723,159,204,826,115
"552","04","013","422203",4448,3298,237,17,717,179
"553","04","013","422204",3116,2553,134,30,285,114
"554","04","013","422205",1791,1595,76,15,79,26
"555","04","013","422209",5965,4710,243,117,630,265
"556","04","013","422210",5826,4664,199,75,701,187
"557","04","013","422211",2961,2677,78,62,69,75
"558","04","013","422212",4677,4095,120,9,338,115
"559","04","013","422213",2668,2204,76,113,185,90
"560","04","013","422214",7084,5865,161,56,707,295
"561","04","013","422215",2220,1857,51,29,211,72
"562","04","013","422216",5930,4959,132,63,467,309
"563","04","013","422217",3983,3349,211,0,358,65
"564","04","013","422218",3480,2901,68,105,319,87
"565","04","013","422219",3220,2608,83,87,381,61
