"","STATE00","COUNTY00","TRACT00","GEOID00","POP00","HU00","PART00","AREA00","AREALAND00","STATE10","COUNTY10","TRACT10","GEOID10","POP10","HU10","PART10","AREA10","AREALAND10","AREAPT","AREALANDPT","AREAPCT00PT","ARELANDPCT00PT","AREAPCT10PT","AREALANDPCT10PT","POP10PT","POPPCT00","POPPCT10","HU10PT","HUPCT00","HUPCT10"
"122",4,9,991400,4009991400,4947,1866,"W",5068385,5068385,4,9,961400,4009961400,4947,1866,"W",5068385,5068385,5068385,5068385,100,100,100,100,4947,100,100,1866,100,100
"123",4,9,991500,4009991500,4449,1775,"W",1798129021,1794542972,4,9,961500,4009961500,4449,1775,"W",1798129021,1794542972,1798129021,1794542972,100,100,100,100,4449,100,100,1775,100,100
"124",4,9,991600,4009991600,3161,510,"W",3310032036,3309650259,4,9,961600,4009961600,3161,510,"W",3310032036,3309650259,3310032036,3309650259,100,100,100,100,3161,100,100,510,100,100
"125",4,9,991700,4009991700,4911,1704,"W",937637449,930847372,4,9,961700,4009961700,4911,1704,"W",937637449,930847372,937637449,930847372,100,100,100,100,4911,100,100,1704,100,100
"126",4,11,990100,4011990100,2886,1564,"P",3312648053,3309418303,4,11,960100,4011960100,2886,1564,"P",3312375052,3309149155,3312374867,3309148970,99.99,99.99,100,100,2886,100,100,1564,100,100
"127",4,11,990100,4011990100,2886,1564,"P",3312648053,3309418303,4,11,960200,4011960200,2963,1428,"P",326802447,319216524,273186,269333,0.01,0.01,0.08,0.08,0,0,0,0,0,0
"128",4,11,990200,4011990200,2963,1428,"P",326529446,318947376,4,11,960100,4011960100,2886,1564,"P",3312375052,3309149155,185,185,0,0,0,0,0,0,0,0,0,0
"129",4,11,990200,4011990200,2963,1428,"P",326529446,318947376,4,11,960200,4011960200,2963,1428,"P",326802447,319216524,326529261,318947191,100,100,99.92,99.92,2963,100,100,1428,100,100
"130",4,11,990300,4011990300,2588,1380,"W",1148241685,1145308140,4,11,960300,4011960300,2588,1380,"W",1148241685,1145308140,1148241685,1145308140,100,100,100,100,2588,100,100,1380,100,100
"131",4,12,20100,4012020100,2815,2138,"P",5094390267,5085434526,4,12,20100,4012020100,2815,2138,"W",5094389031,5085434526,5094389031,5085434526,100,100,100,100,2815,100,100,2138,100,100
"132",4,12,20100,4012020100,2815,2138,"P",5094390267,5085434526,4,15,954800,4015954800,7012,3784,"P",10268327176,10258029923,1236,0,0,0,0,0,0,0,0,0,0,0
"133",4,12,20200,4012020200,2484,3702,"P",506211033,502436948,4,12,20201,4012020201,1837,2339,"W",50072129,49198691,50072129,49198691,9.89,9.79,100,100,1837,73.95,100,2339,63.18,100
"134",4,12,20200,4012020200,2484,3702,"P",506211033,502436948,4,12,20202,4012020202,647,1363,"W",456121932,453238257,456121932,453238257,90.11,90.21,100,100,647,26.05,100,1363,36.82,100
"135",4,12,20200,4012020200,2484,3702,"P",506211033,502436948,4,15,954800,4015954800,7012,3784,"P",10268327176,10258029923,16972,0,0,0,0,0,0,0,0,0,0,0
"136",4,12,20500,4012020500,6372,6002,"P",2732018875,2732018875,4,12,20501,4012020501,1984,1920,"W",1650800773,1650800773,1650800773,1650800773,60.42,60.42,100,100,1984,31.14,100,1920,31.99,100
