"","X","STATE00","COUNTY00","TRACT00","GEOID00","POP00","HU00","PART00","AREA00","AREALAND00","STATE10","COUNTY10","TRACT10","GEOID10","POP10","HU10","PART10","AREA10","AREALAND10","AREAPT","AREALANDPT","AREAPCT00PT","ARELANDPCT00PT","AREAPCT10PT","AREALANDPCT10PT","POP10PT","POPPCT00","POPPCT10","HU10PT","HUPCT00","HUPCT10"
"682",826,4,13,216802,4013216802,6040,3294,"P",7297403,7291833,4,13,216830,4013216830,3144,1908,"P",2617013,2617013,2597899,2597899,35.6,35.63,99.27,99.27,3144,52.05,100,1908,57.92,100
"683",827,4,13,216802,4013216802,6040,3294,"P",7297403,7291833,4,13,216831,4013216831,2896,1386,"P",4729811,4724241,4699033,4693463,64.39,64.37,99.35,99.35,2896,47.95,100,1386,42.08,100
"686",830,4,13,216807,4013216807,4911,2667,"P",4102304,4102304,4,13,941300,4013941300,6293,2609,"P",218380934,211256593,24337,24337,0.59,0.59,0.01,0.01,0,0,0,0,0,0
"688",832,4,13,216809,4013216809,4941,2263,"P",9387730,9387730,4,13,216821,4013216821,5737,3283,"P",15650395,15649417,2852,2852,0.03,0.03,0.02,0.02,0,0,0,0,0,0
"690",834,4,13,216809,4013216809,4941,2263,"P",9387730,9387730,4,13,941300,4013941300,6293,2609,"P",218380934,211256593,137562,137562,1.47,1.47,0.06,0.07,0,0,0,0,0,0
"692",836,4,13,216810,4013216810,1318,1272,"P",1906515,1906515,4,13,941300,4013941300,6293,2609,"P",218380934,211256593,41055,41055,2.15,2.15,0.02,0.02,0,0,0,0,0,0
"694",838,4,13,216811,4013216811,6766,4107,"P",5280428,5145932,4,13,216833,4013216833,4498,2284,"P",3234758,3234758,3222506,3222506,61.03,62.62,99.62,99.62,4498,66.48,100,2284,55.61,100
"695",839,4,13,216811,4013216811,6766,4107,"P",5280428,5145932,4,13,941300,4013941300,6293,2609,"P",218380934,211256593,95765,95765,1.81,1.86,0.04,0.05,0,0,0,0,0,0
"701",845,4,13,216814,4013216814,8286,4496,"P",6973288,6971081,4,13,216848,4013216848,6026,2637,"P",13470693,13470693,193058,193058,2.77,2.77,1.43,1.43,98,1.18,1.63,40,0.89,1.52
"706",850,4,13,216815,4013216815,8744,3772,"P",6097923,6097923,4,13,216849,4013216849,6736,2838,"P",33225023,33224191,69083,69083,1.13,1.13,0.21,0.21,0,0,0,0,0,0
"707",851,4,13,216816,4013216816,5531,2227,"W",16123124,16117993,4,13,216816,4013216816,5531,2227,"P",16127204,16122073,16123124,16117993,100,100,99.97,99.97,5531,100,100,2227,100,100
"709",853,4,13,216818,4013216818,6644,4425,"W",8416800,8416800,4,13,216818,4013216818,6644,4425,"P",8420236,8420236,8416800,8416800,100,100,99.96,99.96,6644,100,100,4425,100,100
"711",855,4,13,216819,4013216819,6450,3176,"P",27718614,27608951,4,13,216848,4013216848,6026,2637,"P",13470693,13470693,804848,804848,2.9,2.92,5.97,5.97,364,5.64,6.04,198,6.23,7.51
"712",856,4,13,216819,4013216819,6450,3176,"P",27718614,27608951,4,13,980700,4013980700,4,3,"P",84926655,84897037,3263410,3261519,11.77,11.81,3.84,3.84,0,0,0,0,0,0
"714",858,4,13,216821,4013216821,5737,3283,"W",15501658,15500680,4,13,216821,4013216821,5737,3283,"P",15650395,15649417,15501658,15500680,100,100,99.05,99.05,5737,100,100,3283,100,100
"722",866,4,13,216825,4013216825,18883,8383,"P",52358546,52357714,4,13,216809,4013216809,4939,2263,"P",9280241,9280241,38659,38659,0.07,0.07,0.42,0.42,3,0.02,0.06,1,0.01,0.04
"723",867,4,13,216825,4013216825,18883,8383,"P",52358546,52357714,4,13,216837,4013216837,4608,2974,"P",2469716,2469716,5174,5174,0.01,0.01,0.21,0.21,0,0,0,0,0,0
"725",869,4,13,216825,4013216825,18883,8383,"P",52358546,52357714,4,13,216848,4013216848,6026,2637,"P",13470693,13470693,12467053,12467053,23.81,23.81,92.55,92.55,5559,29.44,92.25,2398,28.61,90.94
"726",870,4,13,216825,4013216825,18883,8383,"P",52358546,52357714,4,13,216849,4013216849,6736,2838,"P",33225023,33224191,33011045,33010213,63.05,63.05,99.36,99.36,6736,35.67,100,2838,33.85,100
"732",876,4,13,216828,4013216828,13235,6875,"P",88931918,88924967,4,13,216846,4013216846,6585,3146,"P",6861701,6861701,25086,25086,0.03,0.03,0.37,0.37,0,0,0,0,0,0
"735",879,4,13,216829,4013216829,4737,3236,"P",93425812,93398174,4,13,216829,4013216829,4690,3183,"P",93113359,93085721,93111909,93084271,99.66,99.66,100,100,4690,99.01,100,3183,98.36,100
"736",880,4,13,216829,4013216829,4737,3236,"P",93425812,93398174,4,13,216843,4013216843,3314,2170,"P",24035926,24028975,313903,313903,0.34,0.34,1.31,1.31,47,0.99,1.42,53,1.64,2.44
"746",890,4,13,217300,4013217300,2755,2633,"P",2503794,2466422,4,13,105002,4013105002,2574,1290,"P",7934904,7932435,8739,8739,0.35,0.35,0.11,0.11,0,0,0,0,0,0
"748",892,4,13,217400,4013217400,3085,2024,"W",2168841,2165321,4,13,217400,4013217400,3085,2024,"P",2189349,2180505,2168841,2165321,100,100,99.06,99.3,3085,100,100,2024,100,100
"758",902,4,13,218300,4013218300,3953,2820,"P",2197662,2192128,4,13,218300,4013218300,3953,2820,"P",2244217,2238683,2194173,2188639,99.84,99.84,97.77,97.76,3953,100,100,2820,100,100
"759",903,4,13,218300,4013218300,3953,2820,"P",2197662,2192128,4,13,941300,4013941300,6293,2609,"P",218380934,211256593,3489,3489,0.16,0.16,0,0,0,0,0,0,0,0
"760",904,4,13,318400,4013318400,4650,2396,"P",8567006,8329216,4,13,318400,4013318400,4650,2396,"P",8626008,8388218,8566770,8328980,100,100,99.31,99.29,4650,100,100,2396,100,100
"761",905,4,13,318400,4013318400,4650,2396,"P",8567006,8329216,4,13,421201,4013421201,4806,2670,"P",5455731,4566480,236,236,0,0,0,0.01,0,0,0,0,0,0
"763",907,4,13,318502,4013318502,1864,1186,"W",951591,951591,4,13,320100,4013320100,2558,1652,"P",4885392,4796624,951591,951591,100,100,19.48,19.84,1864,100,72.87,1186,100,71.79
"764",908,4,13,318600,4013318600,492,324,"W",3254110,3187696,4,13,320100,4013320100,2558,1652,"P",4885392,4796624,3254110,3187696,100,100,66.61,66.46,492,100,19.23,324,100,19.61
"766",910,4,13,318800,4013318800,6259,3799,"P",3031237,3003680,4,13,318800,4013318800,6057,3657,"P",2572002,2566799,2570812,2565609,84.81,85.42,99.95,99.95,6057,96.77,100,3657,96.26,100
"767",911,4,13,318800,4013318800,6259,3799,"P",3031237,3003680,4,13,320100,4013320100,2558,1652,"P",4885392,4796624,460425,438071,15.19,14.58,9.42,9.13,202,3.23,7.9,142,3.74,8.6
"775",919,4,13,319300,4013319300,2420,1080,"P",1169780,1169780,4,13,319201,4013319201,5305,2920,"P",1324914,1324914,37402,37402,3.2,3.2,2.82,2.82,0,0,0,0,0,0
"776",920,4,13,319300,4013319300,2420,1080,"P",1169780,1169780,4,13,319202,4013319202,3232,2326,"P",1325010,1325010,39203,39203,3.35,3.35,2.96,2.96,0,0,0,0,0,0
"781",925,4,13,319404,4013319404,3333,1671,"P",2262555,2262555,4,13,319402,4013319402,4088,1636,"P",2621524,2621524,112174,112174,4.96,4.96,4.28,4.28,0,0,0,0,0,0
"782",926,4,13,319404,4013319404,3333,1671,"P",2262555,2262555,4,13,319403,4013319403,4520,2041,"P",2666449,2657427,104443,104443,4.62,4.62,3.92,3.93,0,0,0,0,0,0
"789",933,4,13,319704,4013319704,1483,721,"P",7903615,7859586,4,13,113802,4013113802,17,4,"P",13548906,13477509,22633,22633,0.29,0.29,0.17,0.17,0,0,0,0,0,0
"790",934,4,13,319704,4013319704,1483,721,"P",7903615,7859586,4,13,319704,4013319704,1483,721,"P",7899156,7855127,7880982,7836953,99.71,99.71,99.77,99.77,1483,100,100,721,100,100
"803",947,4,13,320001,4013320001,7023,3490,"W",2947487,2947487,4,13,320001,4013320001,7023,3490,"P",2948385,2948385,2947487,2947487,100,100,99.97,99.97,7023,100,100,3490,100,100
"804",948,4,13,320002,4013320002,5523,1376,"W",1987880,1987880,4,13,320002,4013320002,5523,1376,"P",2086386,2086386,1987880,1987880,100,100,95.28,95.28,5523,100,100,1376,100,100
